Parsing Opcorpora --->
Parsing is finished
The results of processing:
 Слов рассмотренно : 981315
 Нераспознано слов : 19.856722866765512 %
 Точность определения леммы слова : 75.02315974492902 %
 Статистика по леммам :
---
и 28913 NOUN
в 21845 NOUN
не 18778 PRCL
на 16000 PREP
гарри 15008 NOUN
что 13794 ADVB
оно 12766 NPRO
он 12420 NPRO
с 11040 PRCL
этот 9545 ADJF
они 9061 NPRO
есть 8631 VERB
я 7471 NOUN
ты 7117 NPRO
как 6682 ADVB
весь 6335 ADJF
а 5732 NOUN
тот 5701 ADJF
к 5694 NOUN
но 5447 INTJ
у 5194 INTJ
сказал 5078 VERB
она 4869 NPRO
рон 4604 NOUN
вы 4386 NPRO
из 4350 PREP
за 4331 PREP
по 4234 NOUN
мы 3897 NPRO
гермиона 3860 NOUN
от 3732 PREP
я 3620 NPRO
так 3376 PRCL
который 3281 ADJF
могу 3277 VERB
же 2772 PRCL
о 2602 NOUN
свой 2519 ADJF
бы 2517 PRCL
когда 2418 CONJ
только 2275 CONJ
себя 2237 NPRO
если 2108 CONJ
чтобы 2101 CONJ
да 2085 CONJ
один 2071 ADJF
уже 1991 COMP
рука 1955 NOUN
такой 1851 ADJF
профессор 1806 NOUN
спросил 1726 VERB
глаз 1709 NOUN
знаю 1639 VERB
хочу 1582 VERB
до 1548 PREP
палочка 1533 NOUN
самый 1505 ADJF
чем 1493 CONJ
кто 1482 NPRO
для 1447 PREP
ответил 1434 VERB
очень 1416 ADVB
ну 1399 PRCL
лицо 1390 NOUN
ни 1363 PRCL
голова 1354 NOUN
нет 1351 INTJ
стал 1266 VERB
тут 1252 ADVB
вот 1245 PRCL
волшебный 1241 ADJF
теперь 1230 ADVB
раз 1210 ADVB
время 1209 NOUN
голос 1201 NOUN
друг 1197 NOUN
снова 1195 ADVB
дверь 1191 NOUN
мистер 1175 NOUN
со 1173 NOUN
думаю 1156 VERB
под 1132 NOUN
говорю 1091 VERB
ничего 1091 ADVB
даже 1073 PRCL
вижу 1068 VERB
там 1049 ADVB
где 1046 CONJ
ли 1036 NOUN
другой 991 ADJF
быль 990 NOUN
большой 915 ADJF
увидел 914 VERB
просто 911 ADVB
сейчас 905 ADVB
или 904 CONJ
человек 902 NOUN
здесь 888 ADVB
ведь 876 CONJ
миссис 871 NOUN
какой 861 ADJF
больше 861 ADVB
что-то 858 ADVB
несколько 845 ADVB
перед 833 PREP
через 830 PREP
сириус 828 NOUN
сам 827 ADJF
стол 812 NOUN
взгляд 805 NOUN
нея 805 NOUN
после 803 PREP
тоже 802 PRCL
над 802 PREP
дело 801 NOUN
пот 800 NOUN
слово 794 NOUN
пока 790 ADVB
смотрю 786 VERB
первый 784 ADJF
никто 775 NPRO
год 772 NOUN
быть 767 INFN
в 734 PREP
надо 731 PRED
вид 731 NOUN
поттер 727 NOUN
должен 727 ADJS
нога 717 NOUN
сторона 715 NOUN
два 711 NUMR
место 709 NOUN
будто 701 CONJ
смерть 678 NOUN
волшебник 669 NOUN
вдруг 662 ADVB
почему 662 ADVB
словно 659 CONJ
без 658 PREP
стою 655 VERB
последний 655 ADJF
комната 649 NOUN
заметил 646 VERB
твой 644 ADJF
фред 642 NOUN
школа 641 NOUN
начал 632 VERB
конец 628 NOUN
об 619 NOUN
всего 612 ADVB
совсем 609 ADVB
конечно 604 CONJ
никогда 602 ADVB
ваш 594 ADJF
потому 584 ADVB
дом 583 NOUN
почти 582 ADVB
каждый 581 ADJF
мой 579 ADJF
что 578 NPRO
какой-то 569 ADJF
посмотрел 555 VERB
сижу 552 VERB
можно 549 PRED
пру 544 VERB
понял 544 VERB
люпин 541 NOUN
тогда 537 ADVB
минута 529 NOUN
дядя 526 NOUN
хотя 525 PRCL
рядом 525 ADVB
джордж 522 NOUN
однако 515 CONJ
пожиратель 512 NOUN
мантия 512 NOUN
кто-то 509 NPRO
опять 508 ADVB
мою 508 VERB
воскликнул 504 VERB
уж 503 PRCL
слышу 502 VERB
наконец 499 CONJ
новый 496 ADJF
сделал 490 VERB
наш 490 ADJF
значу 489 VERB
глядя 488 GRND
урок 484 NOUN
министерство 484 NOUN
поднял 481 VERB
прямо 467 ADVB
остался 466 VERB
между 464 PREP
час 462 NOUN
свет 462 NOUN
лучше 459 PRCL
огромный 456 ADJF
хорошо 454 PRCL
глава 453 NOUN
взял 452 VERB
из-за 450 PREP
стен 448 NOUN
сразу 447 ADVB
правда 445 CONJ
длинный 442 ADJF
сила 441 NOUN
воздух 437 NOUN
заклятие 435 NOUN
оказался 434 VERB
сказать 430 INFN
чуть 430 CONJ
мадам 429 NOUN
успел 428 VERB
волос 424 NOUN
точно 423 CONJ
книга 421 NOUN
замок 416 NOUN
похоже 413 ADVB
крикнул 411 VERB
повернулся 411 VERB
смог 410 VERB
отец 409 NOUN
окно 408 NOUN
пытаюсь 408 VERB
быстро 406 ADVB
коридор 401 NOUN
никакой 401 ADJF
сегодня 400 ADVB
лишь 399 CONJ
маленький 398 ADJF
полный 398 ADJF
зало 397 NOUN
заклинание 396 NOUN
палец 394 NOUN
всегда 393 ADVB
кабинет 391 NOUN
ученик 390 NOUN
куда 389 PRCL
появился 389 VERB
хоть 384 PRCL
вернулся 384 VERB
подумал 383 VERB
продолжаю 382 VERB
имя 377 NOUN
оба 377 NUMR
плечо 376 NOUN
про 376 PREP
едва 375 ADVB
наверное 373 ADVB
старый 372 ADJF
ночь 370 NOUN
прошептал 370 VERB
лежу 369 VERB
мимо 364 ADVB
вешу 362 VERB
дадли 360 NOUN
вместе 358 ADVB
золотой 354 ADJF
вокруг 354 ADVB
нужно 352 PRED
дел 350 VERB
жизнь 349 NOUN
стою 348 VERB
кажусь 346 VERB
слишком 345 ADVB
казалось 345 CONJ
тихо 345 ADVB
сквозь 345 PREP
пошёл 344 VERB
мысль 343 NOUN
